DOI;Title;Study Type;Unified Study Type;Patients / Population;Diabetes Type;ML Algorithms;Data Type(s) (Summarized);Year;Country;Key Findings/Contributions (Concise);Challenges Addressed (Concise);Key Performance Metric(s) Reported (e.g., AUC, Accuracy with key values)
10.1186/s42492-021-00097-7;A comprehensive review of machine learning techniques on diabetes detection;Review;Review/Survey/Meta-Analysis;General population;Diabetes , T1DM, T2DM;As reviewed: OPTICS, DBSCAN, SVM, LR, DT, KNN, ANN, RNN (LSTM), CNN, RF;As reviewed: Facial/iris images, Clinical datasets (PIMA), CGM, EHR;2021;Not applicable ;"Comprehensive survey of ML/DL for diabetes detection; Discusses various data, algorithms, challenges, future scope.";Data inadequacy, model deployment, feature selection, computational complexity, class imbalance.;Accuracy, AUC, RMSE, MAE, Precision, Recall, F1-score (metrics commonly used in reviewed studies).
10.1186/s12859-023-05300-5;A diabetes prediction model based on Boruta feature selection and ensemble learning;Prediction Model Development;Prediction Model Development;General population;Diabetes ;"Boruta (feature selection), K-Means++ (clustering), Stacking Ensemble (NB, KNN, DT as base; SVM as meta)";PIMA dataset,  Early diabetes risk prediction dataset (Sylhet) : Symptom information , Demographic information;2023;Not applicable ;Proposed pipeline (Boruta -> K-Means++ -> Stacking) achieved high accuracy on benchmark datasets.;Feature selection, improving accuracy over single classifiers, model validation. ;Accuracy (98% PIMA, 98.6% Sylhet), Precision, Recall, F1, Kappa, MCC.
10.1038/s41598-023-31270-y;A machine learning approach for early prediction of gestational diabetes mellitus using elemental contents in fingernails;Prediction Model Development (Pilot study);Prediction Model Development;Pregnant women;GDM;LR, Ensemble Subspace model (selected from 15 ML algos);Elemental contents in fingernails & urine, Clinical info;2023;China (Shanghai cohort);"First study using ML for GDM prediction via fingernail elements; Fingernails show potential for non-invasive early GDM risk prediction. Model with Ni, Cu, Se showed good performance.";Small sample size, need for larger validation.;AUC (0.81 training, 0.71 external validation for fingernail model), Sensitivity, Accuracy.
10.1007/s11517-025-03355-5;A machine learning approach for type 2 diabetes diagnosis and prognosis using tailored heterogeneous feature subsets;Prediction Model Development (Diagnosis & Prognosis);Prediction Model Development;Adults (controls and undiagnosed diabetics);T2DM;XGBoost, Permutation Importance (PI), Sequential Backward Selection (SFS);Questionnaires, measurements, biochemical, anthropometric, geospatial ;2025;Spain;"Developed tailored T2D diagnosis/prognosis models using Spanish cohort data; Healthcare scenario (clinical+environmental) performed best; Online demo for prognosis.";Handling heterogeneous data, missing data, feature engineering, reducing prediction cost.;AUROC (D-HEA: 0.96, P-HEA: 0.88), TPR, TNR, PPV, F1.
10.1007/s13167-022-00295-0;A nomogram model for the risk prediction of type 2 diabetes in healthy eastern China residents...;Prediction Model Development ;Prediction Model Development;Healthy adults;T2DM;LASSO regression, Multivariate Logistic Regression (for Nomogram);Retrospective cohort data (physical exams - 10 predictors selected);2022;China (eastern);"Developed T2DM risk nomogram for eastern Chinese population using large cohort, long follow-up; Identified 10 key predictors.";Lack of region-specific models, need for simple/scalable tools.;AUC (0.865 internal validation), Calibration curve, Decision Curve Analysis (DCA).
10.1007/s41870-025-02459-3;A novel deep learning model for early diabetes risk prediction using attention-enhanced deep belief networks with highly imbalanced data;Prediction Model Development (novel methodology);Methodology Development;Adults;Diabetes;Attention-enhanced DBN, GANs (augmentation), Hybrid Loss Function, Ensemble feature selection (Voting); Early diabetes risk prediction dataset (Sylhet) : Symptom information , Demographic information;2025;Bangladesh (dataset);Proposed model (Attention-DBN + GANs + Hybrid Loss) achieved superior performance, addressing class imbalance and feature importance.;Highly imbalanced datasets, feature relevance, optimizing for minority classes.;AUC (1.00), F1-score (0.97), Precision (0.98), Recall (0.95).
10.1007/s11227-024-06211-9;A novel hybrid deep learning model for early stage diabetes risk prediction;Prediction Model Development (novel hybrid architecture);Methodology Development;Individuals at risk (UCI dataset);Diabetes;"Hybrid DL (GA for optimization, Stacked Autoencoder, Softmax); Compared to KNN, DT, SVM, CNN"; Early diabetes risk prediction dataset (Sylhet) : Symptom information , Demographic information;2024;Bangladesh (dataset);"Proposed GA-SAE-Softmax hybrid model achieved superior accuracy on UCI benchmark; Developed web-based application.";Hyperparameter selection/optimization.;Accuracy (98.72%), Precision, Recall, F1 Score, AUC.
10.3390/ijerph192114280;Accuracy of Machine Learning Classification Models for the Prediction of Type 2 Diabetes Mellitus: A Systematic Survey and Meta-Analysis Approach;Systematic Review;Review/Survey/Meta-Analysis;Adults;T2DM;DT, NN, Various ML (as reviewed);Clinical datasets (as reviewed);2022;Not applicable (Systematic Review/Meta-Analysis);"Systematic survey and meta-analysis of ML model accuracy for T2DM prediction; Aims to provide an overview of prediction performance.";Assessing overall accuracy and comparing diverse ML models for T2DM prediction from existing literature.;Accuracy (focus of meta-analysis), other metrics as reported in primary studies.
10.1038/s41598-025-91282-8;An adaptive ensemble feature selection technique for model-agnostic diabetes prediction;Feature Selection Methodology Development;Methodology Development;General population;Diabetes;"Proposed: AdaptDiab (Ensemble FS); Evaluated with GNB, LR, RF, GB, MLP";PIMA dataset;2025;Not applicable (PIMA dataset);Proposed AdaptDiab, a model-agnostic ensemble FS, showed superior accuracy and stability for diabetes prediction.;Limitations of single FS techniques (sensitivity, ignoring interactions, not model-agnostic).;Accuracy Score, Jaccard Coefficient (for stability).
10.1186/s13098-022-00788-y;An early prediction model for gestational diabetes mellitus based on genetic variants and clinical characteristics in China;Prediction Model Development;Prediction Model Development;Pregnant women;GDM;Prediction model (ML implied, specifics not detailed in original summary);Genetic variants, Clinical characteristics;2022;China;Development of an early GDM prediction model using genetic and clinical data for a Chinese population.;Integrating diverse data types (genetic, clinical) for GDM prediction.;Not specified
